# Time-averaged data for fix particle_msd
# TimeStep c_particle_msd[4]
79700 560.273
79800 559.516
79900 561.842
80000 563.098
80100 566.918
80200 564.367
80300 562.835
80400 567.032
80500 568.183
80600 566.549
80700 564.257
80800 563.662
80900 562.757
81000 559.986
81100 560.193
81200 559.433
81300 561.562
81400 565.148
81500 566.14
81600 565.603
81700 565.342
81800 563.121
81900 563.335
82000 560.988
82100 560.446
82200 561.472
82300 563.544
82400 563.068
82500 562.651
82600 563.157
82700 565.106
82800 566.238
82900 566.93
83000 568.059
83100 569.789
83200 572.846
83300 574.549
83400 576.069
83500 575.805
83600 576.155
83700 576.496
83800 578.191
83900 581.148
84000 583.476
84100 583.561
84200 584.715
84300 583.302
84400 583.36
84500 585.843
84600 586.066
84700 589.288
84800 589.204
84900 589.323
85000 592.319
85100 592.989
85200 595.639
85300 596.118
85400 595.572
85500 596.321
85600 597.837
85700 600.482
85800 598.346
85900 597.385
86000 596.298
86100 597.488
86200 598.011
86300 600.393
86400 601.099
86500 605.048
86600 610.509
86700 611.144
86800 613.251
86900 612.268
87000 609.715
87100 607.684
87200 608.523
87300 609.225
87400 609.882
87500 611.035
87600 611.701
87700 613.118
87800 615.005
87900 614.871
88000 613.787
88100 611.096
88200 610.684
88300 612.215
88400 614.354
88500 614.768
88600 615.846
88700 617.451
88800 621.578
88900 621.908
89000 625.616
89100 626.728
89200 627.943
89300 629.801
89400 634.663
89500 634.198
89600 637.061
89700 636.738
89800 635.925
89900 634.37
90000 630.675
90100 630.33
90200 628.602
90300 628.225
90400 632.23
90500 631.972
90600 631.071
90700 632.044
90800 633.712
90900 633.588
91000 632.538
91100 630.211
91200 631.478
91300 632.402
91400 632.129
91500 634.81
91600 636.679
91700 639.81
91800 645.707
91900 646.639
92000 645.068
92100 644.254
92200 645.309
92300 643.444
92400 643.768
92500 642.446
92600 645.299
92700 650.724
92800 651.273
92900 649.307
93000 651.309
93100 654.524
93200 657.799
93300 659.781
93400 662.717
93500 666.726
93600 663.483
93700 663.546
93800 664.33
93900 666.121
94000 667.536
94100 668.536
94200 669.773
94300 667.12
94400 666.729
94500 667.195
94600 668.303
94700 667.251
94800 665.039
94900 662.917
95000 665.078
95100 662.854
95200 664.67
95300 660.857
95400 662.983
95500 664.742
95600 663.365
95700 663.176
95800 665.06
95900 666.484
96000 668.826
96100 669.556
96200 668.398
96300 668.195
96400 670.528
96500 676.085
96600 675.686
96700 680.99
96800 682.311
96900 680.914
97000 682.315
97100 682.632
97200 684.865
97300 684.66
97400 685.376
97500 687.547
97600 686.756
97700 689.527
97800 694.617
97900 695.1
98000 693.868
98100 696.409
98200 694.481
98300 694.096
98400 694.53
98500 694.036
98600 697.955
98700 697.318
98800 697.107
98900 698.668
99000 699.844
99100 699.846
99200 702.707
99300 704.968
99400 703.12
99500 702.604
99600 702.1
99700 702.917
99800 704.183
99900 707.652
100000 707.415
100100 710.412
100200 714.219
100300 721.594
100400 719.383
100500 718.593
100600 719.615
100700 720.749
100800 722.619
100900 721.279
101000 718.769
101100 721.464
101200 720.873
101300 721.409
101400 723.271
101500 728.116
101600 731.916
101700 730.675
101800 733.328
101900 734.426
102000 734.482
102100 737.552
102200 735.333
102300 732.115
102400 732.614
102500 732.762
102600 732.109
102700 732.437
102800 732.751
102900 734.25
103000 732.255
103100 730.238
103200 732.239
103300 734.161
103400 732.558
103500 736.349
103600 737.78
103700 737.76
103800 740.555
103900 735.391
104000 737.222
104100 735.979
104200 735.487
104300 735.186
104400 738.771
104500 738.375
104600 740.238
104700 739.198
104800 742.072
104900 744.081
105000 745.113
105100 746.043
105200 748.511
105300 748.664
105400 742.986
105500 740.55
105600 739.745
105700 740.761
105800 739.261
105900 737.988
106000 739.818
106100 741.01
106200 740.423
106300 739.344
106400 737.53
106500 739.866
106600 742.351
106700 737.429
106800 735.743
106900 737.233
107000 738.425
107100 736.46
107200 737.363
107300 737.974
107400 737.983
107500 739.353
107600 736.751
107700 740.248
107800 741.194
107900 738.536
108000 736.291
108100 733.678
108200 735.291
108300 736.006
108400 738.652
108500 740.885
108600 743.121
108700 743.806
108800 746.253
108900 750.575
109000 748.872
109100 748.93
109200 751.486
109300 752.669
109400 751.953
109500 751.397
109600 749.503
109700 747.608
109800 749.136
109900 752.532
110000 753.22
110100 756.168
110200 756.35
110300 756.895
110400 753.371
110500 757.305
110600 759.601
110700 759.731
110800 757.004
110900 756.689
111000 760.227
111100 763.408
111200 765.558
111300 766.332
111400 768.14
111500 771.055
111600 772.667
111700 774.2
111800 776.249
111900 777.603
112000 779.306
112100 778.777
112200 774.747
112300 777.016
112400 778.05
112500 774.756
112600 776.843
112700 779.962
112800 784.855
112900 786.089
113000 788.917
113100 788.443
113200 789.646
113300 788.077
113400 789.365
113500 788.833
113600 790.709
113700 788.232
113800 787.922
113900 784.079
114000 784.318
114100 787.066
114200 790.041
114300 790.723
114400 792.177
114500 794.132
114600 794.235
114700 795.757
114800 795.48
114900 801.614
115000 801.834
115100 799.158
115200 802.169
115300 800.677
115400 800.444
115500 800.969
115600 798.589
115700 799.782
115800 798.417
115900 795.846
116000 798.183
116100 798.288
116200 799.514
116300 801.246
116400 801.895
116500 801.329
116600 801.955
116700 802.971
116800 804.016
116900 802.913
117000 802.132
117100 795.339
117200 797.836
117300 800.204
117400 798.58
117500 802.162
117600 807.031
117700 807.432
117800 808.609
117900 804.495
118000 804.461
118100 806.195
118200 805.979
118300 806.354
118400 805.626
118500 806.707
118600 806.512
118700 810.039
118800 811.859
118900 812.419
119000 810.5
119100 810.286
119200 810.775
119300 811.76
119400 815.509
119500 817.385
119600 818.708
119700 822.832
119800 826.979
119900 827.999
120000 828.883
120100 827.595
120200 830.591
120300 834.414
120400 834.288
120500 836.666
120600 834.473
120700 832.509
120800 835.445
120900 833.928
121000 832.656
121100 828.681
121200 826.787
121300 831.023
121400 830.797
121500 834.664
121600 836.286
121700 834.188
121800 834.579
121900 837.373
122000 835.902
122100 837.497
122200 840.789
122300 836.237
122400 836.356
122500 838.527
122600 839.635
122700 843.62
122800 848.238
122900 849.696
123000 848.973
123100 852.158
123200 853.082
123300 853.342
123400 852.66
123500 847.628
123600 848.833
123700 852.714
123800 853.598
123900 852.157
124000 851.295
124100 848.872
124200 851.106
124300 854.998
124400 859.159
124500 859.29
124600 861.966
124700 866.991
124800 871.572
124900 870.604
125000 869.517
125100 871.806
125200 872.883
125300 873.971
125400 870.711
125500 868.212
125600 865.108
125700 863.976
125800 862.343
125900 860.59
126000 860.178
126100 858.682
126200 863.588
126300 866.669
126400 868.745
126500 872.821
126600 866.977
126700 863.418
126800 860.662
126900 860.099
127000 860.671
127100 863.92
127200 865.035
127300 868.936
127400 868.611
127500 871.01
127600 875.844
127700 876.907
127800 876.787
127900 878.624
128000 882.167
128100 884.814
128200 887.593
128300 888.775
128400 889.084
128500 886.353
128600 887.449
128700 887.442
128800 889.933
128900 891.943
129000 894.922
129100 895.431
129200 898.105
129300 901.685
129400 908.363
129500 912.351
129600 910.776
129700 911.019
129800 912.465
129900 913.056
130000 913.483
130100 916.261
130200 912.69
130300 915.442
130400 912.832
130500 916.085
130600 915.194
130700 916.849
130800 919.391
130900 917.965
131000 917.548
131100 914.51
131200 912.503
131300 914.145
131400 912.371
131500 917.049
131600 918.66
131700 915.038
131800 914.859
131900 920.136
132000 922.904
132100 924.33
132200 925.686
132300 926.602
132400 925.501
132500 927.131
132600 926.731
132700 926.805
132800 927.844
132900 927.052
133000 927.431
133100 926.585
133200 927.728
133300 924.416
133400 923.345
133500 921.787
133600 922.782
133700 922.945
133800 925.463
133900 921.797
134000 919.564
134100 917.925
134200 917.152
134300 918.668
134400 920.382
134500 926.423
134600 925.274
134700 924.025
134800 922.078
134900 925.175
135000 928.211
135100 924.622
135200 923.235
135300 922.616
135400 920.58
135500 921.51
135600 920.511
135700 923.451
135800 923.588
135900 924.071
136000 928.1
136100 931.698
136200 932.056
136300 930.068
136400 931.351
136500 932.633
136600 935.164
136700 933.27
136800 924.352
136900 921.814
137000 919.334
137100 917.799
137200 919.344
137300 921.94
137400 918.75
137500 920.942
137600 924.88
137700 921.433
137800 918.936
137900 921.138
138000 921.413
138100 918.895
138200 918.14
138300 913.875
138400 914.582
138500 918.71
138600 922.429
138700 927.892
138800 933.773
138900 935.688
139000 935.694
139100 937.086
139200 937.964
139300 942.043
139400 942.345
139500 942.415
139600 944.297
139700 944.483
139800 945.243
139900 943.973
140000 938.046
140100 939.34
140200 945.839
140300 944.695
140400 943.265
140500 946.047
140600 948.426
140700 948.002
140800 947.586
140900 952.018
141000 954.412
141100 957.274
141200 953.936
141300 953.497
141400 960.767
141500 962.849
141600 966.578
141700 965.224
141800 965.072
141900 965.782
142000 965.631
142100 970.219
142200 972.696
142300 978.022
142400 980.814
142500 975.443
142600 972.835
142700 971.499
142800 975.399
142900 976.972
143000 974.286
143100 973.905
143200 975.343
143300 976.751
143400 977.838
143500 977.617
143600 981.632
143700 982.97
143800 982.664
143900 986.144
144000 987.707
144100 986.267
144200 983.794
144300 986.203
144400 984.629
144500 986.107
144600 986.67
144700 985.695
144800 989.984
144900 990.882
145000 992.78
145100 992.95
145200 993.12
145300 993.742
145400 992.253
145500 995.148
145600 998.979
145700 1000.58
145800 1002.73
145900 1001.97
146000 1010.11
146100 1010.58
146200 1015.38
146300 1015.33
146400 1015.29
146500 1016.18
146600 1014.94
146700 1011.88
146800 1009.84
146900 1006.71
147000 1005.4
147100 1002.53
147200 1001.02
147300 1002.27
147400 1000.97
147500 1000.22
147600 998.915
147700 1002.57
147800 1003.27
147900 1005.37
148000 1010.25
148100 1013.39
148200 1011.86
148300 1010.58
148400 1010.52
148500 1006.79
148600 1008.93
148700 1009.24
148800 1009.98
148900 1011.08
149000 1010.15
149100 1010.53
149200 1015.33
149300 1014.77
149400 1019.34
149500 1018.79
149600 1015.81
149700 1020.55
149800 1021.37
149900 1019.78
150000 1021.55
150100 1019.35
150200 1019.25
150300 1020.69
150400 1020.43
150500 1023.41
150600 1024.26
150700 1020.22
150800 1020.75
150900 1020.75
151000 1020.79
151100 1021.05
151200 1024.07
151300 1026.75
151400 1026.83
151500 1027.95
151600 1033.47
151700 1037.33
151800 1035.08
151900 1034.41
152000 1033.97
152100 1036.12
152200 1039.66
152300 1038.63
152400 1040.03
152500 1037.31
152600 1042.02
152700 1043.81
152800 1043.13
152900 1041.77
153000 1044.87
